1	81	211			
2	87	232			
3	108	227			
4	132	230			
5	146	230			
6	186	234			
7	196	235			
8	227	235			
9	76	206			
10	101	196			
11	118	186			
12	139	185			
13	145	180			
14	167	158			
15	172	164			
16	151	187			
17	164	198			
18	184	174			
19	201	189			
20	183	217			
21	226	220			
22	227	202			
23	227	185			
24	227	167			
25	218	132			
26	228	158			
27	228	130			
28	217	130			
29	182	140			
30	194	130			
31	195	107			
32	217	107			
33	227	107			
34	218	90			
35	227	85			
36	51	151			
37	51	151			
38	42	140			
39	38	117			
40	55	82			
41	58	105			
42	58	112			
43	63	124			
44	65	146			
45	74	97			
46	82	114			
47	88	135			
48	212	45			
49	95	165			
50	65	182			
					
1	2	9	10		
2	1	3			
3	2	4	10		
4	3	5	11		
5	4	17	6		
6	5	7	20		
7	6	8			
8	21	7			
9	1	50	10		
10	1	49	11		
11	10	12	4	13	
12	11	13	16		
13	11	14	12		
14	13	15	29		
15	14	18	16		
16	12	15	17		
17	5	16	20	18	
18	15	17	19		
19	20	22	20	25	
20	6	17	19		
21	22	8	7		
22	19	23	21		
23	22	25	24		
24	25	26	23		
25	19	23	24		
26	15	24	27		
27	26	28	33		
28	27	29	30	32	
29	14	30	28		
30	29	28	31		
31	30	32	34		
32	31	34	33	28	
33	27	32	35		
34	31	32	35		
35	33	34			
36	50	37	49		
37	36	44	38		
38	37	44	39		
39	38	42	40		
40	41	39	45		
41	42	40	45		
42	39	41	43		
43	42	44	46		
44	37	38	43	47	
45	41	40	46		
46	45	43	47		
47	44	36	46		
48	49				
49	50	36	10	47	48
50	36	9	49		

